year,indicator,LifeZone,pool_tc_sum,area_sum,pool_tc_per_ha,run
1987,Total Biomass,Boreal wet forest,12495348.767209046,108616.23682908775,115.04126023875239,"Modified Decay, Turnover and Spinup parameters"
1987,Total Biomass,Cool temperate moist forest,34910919.537926145,303464.33501748473,115.04126023875155,"Modified Decay, Turnover and Spinup parameters"
1987,Total Biomass,Cool temperate rain forest,8028614.799251195,69789.00250735159,115.04126023875266,"Modified Decay, Turnover and Spinup parameters"
1987,Total Biomass,Cool temperate wet forest,167921914.37146997,1459666.8536397922,115.04126023876181,"Modified Decay, Turnover and Spinup parameters"
1987,Total Biomass,Warm temperate moist forest,138665.43869705673,1205.3539609117215,115.04126023875271,"Modified Decay, Turnover and Spinup parameters"
1988,Deadwood,Boreal rain forest,1892398.3787567378,109148.48865778596,17.33783400968554,"Modified Decay, Turnover and Spinup parameters"
1988,Deadwood,Boreal wet forest,1561944.230900686,108616.23682908775,14.3803935442771,"Modified Decay, Turnover and Spinup parameters"
1988,Deadwood,Cool temperate moist forest,4590031.1853750115,303464.33501748473,15.125438661879484,"Modified Decay, Turnover and Spinup parameters"
1988,Deadwood,Cool temperate rain forest,1206746.057287356,69789.00250735159,17.291349839256366,"Modified Decay, Turnover and Spinup parameters"
1988,Deadwood,Cool temperate wet forest,21512635.485058326,1459666.8536397922,14.738044802082685,"Modified Decay, Turnover and Spinup parameters"
1988,Deadwood,Warm temperate moist forest,16069.566681894401,1205.3539609117215,13.331823848439914,"Modified Decay, Turnover and Spinup parameters"
1988,Litter,Boreal rain forest,3408730.225983375,109148.48865778596,31.23021003681317,"Modified Decay, Turnover and Spinup parameters"
1988,Litter,Boreal wet forest,2996057.3923575473,108616.23682908775,27.583881377440562,"Modified Decay, Turnover and Spinup parameters"
1988,Litter,Cool temperate moist forest,8594064.554298583,303464.33501748473,28.319850350135606,"Modified Decay, Turnover and Spinup parameters"
1988,Litter,Cool temperate rain forest,2174768.561274013,69789.00250735159,31.16205251744245,"Modified Decay, Turnover and Spinup parameters"
1988,Litter,Cool temperate wet forest,40478180.34654749,1459666.8536397922,27.731108811309937,"Modified Decay, Turnover and Spinup parameters"
1988,Litter,Warm temperate moist forest,31437.76016969248,1205.3539609117215,26.081766177557647,"Modified Decay, Turnover and Spinup parameters"
1988,Soil Carbon,Boreal rain forest,7742312.700656736,109148.48865778596,70.93376001688182,"Modified Decay, Turnover and Spinup parameters"
1988,Soil Carbon,Boreal wet forest,7462270.160073073,108616.23682908775,68.70308139855067,"Modified Decay, Turnover and Spinup parameters"
1988,Soil Carbon,Cool temperate moist forest,20946298.39462997,303464.33501748473,69.02392135610633,"Modified Decay, Turnover and Spinup parameters"
1988,Soil Carbon,Cool temperate rain forest,4946589.9334361935,69789.00250735159,70.87921815353528,"Modified Decay, Turnover and Spinup parameters"
1988,Soil Carbon,Cool temperate wet forest,100115497.24833053,1459666.8536397922,68.5879089455822,"Modified Decay, Turnover and Spinup parameters"
1988,Soil Carbon,Warm temperate moist forest,81529.8363458354,1205.3539609117215,67.63974648921118,"Modified Decay, Turnover and Spinup parameters"
1988,Total Biomass,Boreal rain forest,12646299.557586592,109148.48865778596,115.86325851232468,"Modified Decay, Turnover and Spinup parameters"
1988,Total Biomass,Boreal wet forest,12584631.126364492,108616.23682908775,115.86325851232483,"Modified Decay, Turnover and Spinup parameters"
1988,Total Biomass,Cool temperate moist forest,35160366.69740123,303464.33501748473,115.86325851232368,"Modified Decay, Turnover and Spinup parameters"
1988,Total Biomass,Cool temperate rain forest,8085981.238826536,69789.00250735159,115.86325851232445,"Modified Decay, Turnover and Spinup parameters"
1988,Total Biomass,Cool temperate wet forest,169121758.00515047,1459666.8536397922,115.86325851233265,"Modified Decay, Turnover and Spinup parameters"
1988,Total Biomass,Warm temperate moist forest,139656.2375719688,1205.3539609117215,115.8632585123243,"Modified Decay, Turnover and Spinup parameters"
1989,Deadwood,Boreal rain forest,1890734.7299523104,109148.48865778596,17.322591940602535,"Modified Decay, Turnover and Spinup parameters"
1989,Deadwood,Boreal wet forest,1562397.670873365,108616.23682908775,14.384568242148399,"Modified Decay, Turnover and Spinup parameters"
1989,Deadwood,Cool temperate moist forest,4590313.967803327,303464.33501748473,15.126370509202825,"Modified Decay, Turnover and Spinup parameters"
1989,Deadwood,Cool temperate rain forest,1205729.789639468,69789.00250735159,17.2767878364855,"Modified Decay, Turnover and Spinup parameters"
1989,Deadwood,Cool temperate wet forest,21518893.52470798,1459666.8536397922,14.742332108897969,"Modified Decay, Turnover and Spinup parameters"
1989,Deadwood,Warm temperate moist forest,16084.87577219604,1205.3539609117215,13.344524756885146,"Modified Decay, Turnover and Spinup parameters"
1989,Litter,Boreal rain forest,3423186.63263166,109148.48865778596,31.362657190466482,"Modified Decay, Turnover and Spinup parameters"
1989,Litter,Boreal wet forest,3007604.388472001,108616.23682908775,27.690191414057125,"Modified Decay, Turnover and Spinup parameters"
1989,Litter,Cool temperate moist forest,8628152.006363029,303464.33501748473,28.43217805435324,"Modified Decay, Turnover and Spinup parameters"
1989,Litter,Cool temperate rain forest,2183969.355034983,69789.00250735159,31.293889818885475,"Modified Decay, Turnover and Spinup parameters"
1989,Litter,Cool temperate wet forest,40636805.80428128,1459666.8536397922,27.839781182226794,"Modified Decay, Turnover and Spinup parameters"
1989,Litter,Warm temperate moist forest,31554.1255155383,1205.3539609117215,26.178306571184265,"Modified Decay, Turnover and Spinup parameters"
1989,Soil Carbon,Boreal rain forest,7746412.475067384,109148.48865778596,70.97132145690782,"Modified Decay, Turnover and Spinup parameters"
1989,Soil Carbon,Boreal wet forest,7466040.430122531,108616.23682908775,68.73779324421506,"Modified Decay, Turnover and Spinup parameters"
1989,Soil Carbon,Cool temperate moist forest,20956964.343476407,303464.33501748473,69.05906864564143,"Modified Decay, Turnover and Spinup parameters"
1989,Soil Carbon,Cool temperate rain forest,4949206.047513535,69789.00250735159,70.91670420410702,"Modified Decay, Turnover and Spinup parameters"
1989,Soil Carbon,Cool temperate wet forest,100166019.44688007,1459666.8536397922,68.62252108904738,"Modified Decay, Turnover and Spinup parameters"
1989,Soil Carbon,Warm temperate moist forest,81570.08389829069,1205.3539609117215,67.673137139394,"Modified Decay, Turnover and Spinup parameters"
1989,Total Biomass,Boreal rain forest,12734047.855137825,109148.48865778596,116.66719357940885,"Modified Decay, Turnover and Spinup parameters"
1989,Total Biomass,Boreal wet forest,12671951.528006248,108616.23682908775,116.66719357941024,"Modified Decay, Turnover and Spinup parameters"
